event_id,event_timestamp,event_name,event_type,customer_identifier,session_id,attempt_id,channel,device_type,os,network_type,step_name,step_sequence,status,error_code,location_raw,ingestion_timestamp,source_system
14,2026-03-24 18:15:33.910624,start,progress,+27839574775,S2479,A1127,Branch,Android,ios 26,3G,start,1,fail,,Cape town,2026-03-28 10:44:33.910624,app
15,2026-03-25 00:37:33.910624,kyc_upload,progress,+27839801344,S1170,A179,USSD,Android,Android 11,3G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
16,2026-03-28 08:20:33.910624,kyc_upload,progress,+27837946491,S780,A1481,Mobile App,ios,Android 11,3G,kyc_upload,5,fail,,Durban,2026-03-28 10:44:33.910624,app
17,2026-03-22 07:41:33.910624,personal_details,progress,+27832826670,S366,A1081,USSD,ios,Android 11,3G,personal_details,4,success,,Cape town,2026-03-28 10:44:33.910624,app
18,2026-03-23 08:38:33.910624,personal_details,progress,+27834332440,S1345,A4713,Branch,Android,Android 11,3G,personal_details,4,abandon,,Cape town,2026-03-28 10:44:33.910624,app
19,2026-03-25 06:32:33.910624,personal_details,progress,+27835666571,S128,A2858,Branch,ios,ios 26,4G,personal_details,4,success,,Cape town,2026-03-28 10:44:33.910624,app
20,2026-03-22 23:54:33.910624,kyc_upload,progress,+27834026368,S2901,A184,Branch,ios,ios 26,3G,kyc_upload,5,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
21,2026-03-25 02:19:33.910624,kyc_upload,progress,+27839362617,S1068,A2795,USSD,ios,ios 26,4G,kyc_upload,5,fail,,johannesburg,2026-03-28 10:44:33.910624,app
22,2026-03-21 14:24:33.910624,account_created,progress,+27835503786,S996,A1975,Web,ios,ios 26,4G,account_created,6,abandon,,Durban,2026-03-28 10:44:33.910624,app
23,2026-03-27 05:11:33.910624,phone_entry,progress,+27838081622,S2445,A1431,Mobile App,Android,Android 11,3G,phone_entry,2,success,,Durban,2026-03-28 10:44:33.910624,app
24,2026-03-24 13:10:33.910624,start,progress,+27835995411,S1950,A2261,Web,Android,Android 11,4G,start,1,success,,Durban,2026-03-28 10:44:33.910624,app
25,2026-03-25 05:22:33.910624,account_created,progress,+27837035721,S537,A4232,Web,Android,Android 11,3G,account_created,6,abandon,,Durban,2026-03-28 10:44:33.910624,app
26,2026-03-21 22:12:33.910624,kyc_upload,progress,+27831265682,S2017,A4740,USSD,ios,Android 11,3G,kyc_upload,5,fail,,Cape town,2026-03-28 10:44:33.910624,app
27,2026-03-25 22:49:33.910624,phone_entry,progress,+27833260959,S2998,A4018,Mobile App,ios,ios 26,4G,phone_entry,2,abandon,,Cape town,2026-03-28 10:44:33.910624,app
28,2026-03-27 04:31:33.910624,phone_entry,progress,+27832122906,S364,A1564,Web,ios,Android 11,4G,phone_entry,2,success,,Durban,2026-03-28 10:44:33.910624,app
29,2026-03-27 15:16:33.910624,phone_entry,progress,+27831739718,S146,A3028,Web,Android,ios 26,4G,phone_entry,2,fail,,johannesburg,2026-03-28 10:44:33.910624,app
30,2026-03-25 15:23:33.910624,phone_entry,progress,+27832950163,S1792,A3943,Web,ios,ios 26,3G,phone_entry,2,fail,,Durban,2026-03-28 10:44:33.910624,app
31,2026-03-27 20:57:33.910624,otp,progress,+27836993258,S1966,A4046,Branch,Android,Android 11,4G,otp,3,fail,,Durban,2026-03-28 10:44:33.910624,app
32,2026-03-26 12:57:33.910624,start,progress,+27838825738,S1330,A3650,Web,ios,Android 11,3G,start,1,abandon,,Durban,2026-03-28 10:44:33.910624,app
33,2026-03-25 23:52:33.910624,start,progress,+27832883172,S674,A3072,Branch,Android,ios 26,3G,start,1,fail,,Durban,2026-03-28 10:44:33.910624,app
34,2026-03-24 14:15:33.910624,account_created,progress,+27834333028,S377,A1357,Web,ios,ios 26,3G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
35,2026-03-24 17:38:33.910624,phone_entry,progress,+27839260079,S764,A1248,USSD,Android,Android 11,4G,phone_entry,2,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
36,2026-03-26 14:26:33.910624,start,progress,+27833228551,S2988,A1728,Mobile App,ios,Android 11,4G,start,1,abandon,,Cape town,2026-03-28 10:44:33.910624,app
37,2026-03-25 15:28:33.910624,start,progress,+27836374372,S1177,A4424,Branch,Android,ios 26,3G,start,1,success,,johannesburg,2026-03-28 10:44:33.910624,app
38,2026-03-23 20:32:33.910624,kyc_upload,progress,+27834864400,S461,A2520,USSD,ios,Android 11,3G,kyc_upload,5,fail,,Cape town,2026-03-28 10:44:33.910624,app
39,2026-03-24 14:34:33.910624,start,progress,+27834749849,S779,A4829,Mobile App,Android,Android 11,4G,start,1,abandon,,Durban,2026-03-28 10:44:33.910624,app
40,2026-03-22 11:51:33.910624,phone_entry,progress,+27839458684,S1883,A147,USSD,Android,ios 26,4G,phone_entry,2,success,,johannesburg,2026-03-28 10:44:33.910624,app
41,2026-03-23 04:12:33.910624,otp,progress,+27832570703,S673,A474,Web,Android,Android 11,4G,otp,3,abandon,,Durban,2026-03-28 10:44:33.910624,app
42,2026-03-22 17:19:33.910624,otp,progress,+27839702528,S1807,A1475,Branch,ios,Android 11,4G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
43,2026-03-27 14:50:33.910624,otp,progress,+27831429276,S2509,A194,Mobile App,Android,ios 26,4G,otp,3,fail,,Durban,2026-03-28 10:44:33.910624,app
44,2026-03-24 10:51:33.910624,phone_entry,progress,+27832961965,S1996,A3544,USSD,Android,ios 26,3G,phone_entry,2,fail,,Cape town,2026-03-28 10:44:33.910624,app
45,2026-03-23 21:47:33.910624,account_created,progress,+27832168297,S2074,A2155,USSD,ios,Android 11,3G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
46,2026-03-22 02:00:33.910624,account_created,progress,+27837269943,S2011,A2408,Mobile App,Android,Android 11,4G,account_created,6,fail,,Cape town,2026-03-28 10:44:33.910624,app
47,2026-03-22 21:09:33.910624,otp,progress,+27834883604,S2578,A4025,Branch,Android,Android 11,4G,otp,3,abandon,,Durban,2026-03-28 10:44:33.910624,app
48,2026-03-24 20:25:33.910624,otp,progress,+27832501746,S1788,A2171,Web,Android,ios 26,3G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
49,2026-03-25 04:10:33.910624,start,progress,+27831838732,S58,A3501,USSD,Android,ios 26,3G,start,1,success,,johannesburg,2026-03-28 10:44:33.910624,app
50,2026-03-23 13:23:33.910624,kyc_upload,progress,+27836941587,S2481,A996,Web,Android,ios 26,4G,kyc_upload,5,fail,,Durban,2026-03-28 10:44:33.910624,app
51,2026-03-21 13:26:33.910624,kyc_upload,progress,+27831480492,S1542,A1041,Web,Android,ios 26,4G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
52,2026-03-23 20:31:33.910624,otp,progress,+27835728667,S2089,A2131,Web,Android,ios 26,4G,otp,3,fail,,Cape town,2026-03-28 10:44:33.910624,app
53,2026-03-27 08:01:33.910624,kyc_upload,progress,+27834884907,S2610,A1482,Mobile App,ios,Android 11,3G,kyc_upload,5,abandon,,Durban,2026-03-28 10:44:33.910624,app
54,2026-03-26 02:04:33.910624,account_created,progress,+27835498907,S2720,A3485,Mobile App,Android,Android 11,3G,account_created,6,fail,,johannesburg,2026-03-28 10:44:33.910624,app
55,2026-03-25 10:31:33.910624,otp,progress,+27832666937,S70,A2508,Branch,ios,Android 11,4G,otp,3,fail,,Cape town,2026-03-28 10:44:33.910624,app
56,2026-03-22 22:55:33.910624,account_created,progress,+27838785873,S2664,A4556,Web,Android,ios 26,4G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
57,2026-03-21 18:01:33.910624,account_created,progress,+27835033856,S56,A3804,USSD,Android,Android 11,3G,account_created,6,abandon,,Durban,2026-03-28 10:44:33.910624,app
58,2026-03-22 16:37:33.910624,otp,progress,+27839890489,S1103,A1955,Web,ios,ios 26,4G,otp,3,success,,Cape town,2026-03-28 10:44:33.910624,app
59,2026-03-26 19:32:33.910624,account_created,progress,+27838898583,S687,A1138,Branch,Android,ios 26,3G,account_created,6,abandon,,Durban,2026-03-28 10:44:33.910624,app
60,2026-03-22 03:48:33.910624,account_created,progress,+27836886429,S1817,A652,Web,ios,ios 26,4G,account_created,6,fail,,johannesburg,2026-03-28 10:44:33.910624,app
61,2026-03-23 22:40:33.910624,personal_details,progress,+27835299975,S1423,A4109,Mobile App,Android,Android 11,3G,personal_details,4,fail,,johannesburg,2026-03-28 10:44:33.910624,app
62,2026-03-24 11:13:33.910624,phone_entry,progress,+27831005951,S221,A2001,Branch,Android,ios 26,4G,phone_entry,2,fail,,Durban,2026-03-28 10:44:33.910624,app
63,2026-03-27 08:17:33.910624,kyc_upload,progress,+27834267441,S2965,A983,Web,ios,Android 11,4G,kyc_upload,5,abandon,,Durban,2026-03-28 10:44:33.910624,app
64,2026-03-24 20:48:33.910624,account_created,progress,+27831163173,S1267,A3809,Mobile App,ios,ios 26,3G,account_created,6,abandon,,Cape town,2026-03-28 10:44:33.910624,app
65,2026-03-24 12:16:33.910624,kyc_upload,progress,+27835102771,S2443,A1006,USSD,Android,Android 11,3G,kyc_upload,5,success,,Durban,2026-03-28 10:44:33.910624,app
66,2026-03-23 16:26:33.910624,phone_entry,progress,+27831518915,S2828,A2529,Web,Android,Android 11,4G,phone_entry,2,success,,johannesburg,2026-03-28 10:44:33.910624,app
67,2026-03-25 17:12:33.910624,otp,progress,+27834033917,S2783,A1526,Web,Android,Android 11,3G,otp,3,success,,johannesburg,2026-03-28 10:44:33.910624,app
68,2026-03-23 07:00:33.910624,kyc_upload,progress,+27833202821,S1836,A4359,Branch,Android,ios 26,3G,kyc_upload,5,success,,Cape town,2026-03-28 10:44:33.910624,app
69,2026-03-24 02:59:33.910624,otp,progress,+27833822406,S1601,A1986,USSD,Android,Android 11,3G,otp,3,fail,,johannesburg,2026-03-28 10:44:33.910624,app
70,2026-03-25 16:02:33.910624,otp,progress,+27831661457,S1734,A267,Branch,Android,ios 26,3G,otp,3,success,,Cape town,2026-03-28 10:44:33.910624,app
71,2026-03-22 18:15:33.910624,otp,progress,+27832099769,S2368,A2072,Mobile App,ios,ios 26,3G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
72,2026-03-24 23:04:33.910624,account_created,progress,+27835068011,S2070,A83,Branch,Android,Android 11,3G,account_created,6,success,,johannesburg,2026-03-28 10:44:33.910624,app
73,2026-03-26 11:24:33.910624,account_created,progress,+27833380562,S1278,A4040,Web,ios,Android 11,4G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
74,2026-03-23 07:44:33.910624,start,progress,+27834797939,S2060,A3842,USSD,Android,ios 26,3G,start,1,fail,,Cape town,2026-03-28 10:44:33.910624,app
75,2026-03-26 18:29:33.910624,otp,progress,+27836364739,S1962,A4531,Mobile App,ios,ios 26,3G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
76,2026-03-22 09:46:33.910624,kyc_upload,progress,+27832027971,S1062,A4248,Web,ios,Android 11,3G,kyc_upload,5,success,,Cape town,2026-03-28 10:44:33.910624,app
77,2026-03-23 11:38:33.910624,start,progress,+27832038915,S11,A779,Web,ios,Android 11,4G,start,1,success,,johannesburg,2026-03-28 10:44:33.910624,app
78,2026-03-23 01:44:33.910624,account_created,progress,+27832080438,S2912,A2659,Mobile App,ios,ios 26,3G,account_created,6,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
79,2026-03-23 05:07:33.910624,otp,progress,+27833442165,S586,A3555,Mobile App,Android,ios 26,4G,otp,3,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
80,2026-03-21 16:13:33.910624,kyc_upload,progress,+27832150863,S1710,A1992,USSD,ios,ios 26,3G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
81,2026-03-25 05:54:33.910624,personal_details,progress,+27833262847,S2962,A700,USSD,ios,ios 26,4G,personal_details,4,success,,Cape town,2026-03-28 10:44:33.910624,app
82,2026-03-24 21:13:33.910624,start,progress,+27831021162,S1537,A3054,Web,ios,ios 26,3G,start,1,abandon,,Cape town,2026-03-28 10:44:33.910624,app
83,2026-03-26 15:53:33.910624,kyc_upload,progress,+27834571158,S349,A1765,Branch,ios,ios 26,3G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
84,2026-03-22 13:55:33.910624,phone_entry,progress,+27838298006,S1984,A1725,Web,ios,Android 11,3G,phone_entry,2,abandon,,Durban,2026-03-28 10:44:33.910624,app
85,2026-03-28 10:07:33.910624,start,progress,+27831994106,S1475,A3823,Mobile App,ios,Android 11,4G,start,1,fail,,Cape town,2026-03-28 10:44:33.910624,app
86,2026-03-27 19:17:33.910624,kyc_upload,progress,+27835005848,S2414,A623,Mobile App,ios,Android 11,3G,kyc_upload,5,success,,johannesburg,2026-03-28 10:44:33.910624,app
87,2026-03-25 03:53:33.910624,account_created,progress,+27836193333,S12,A4657,Web,Android,Android 11,3G,account_created,6,fail,,johannesburg,2026-03-28 10:44:33.910624,app
88,2026-03-27 01:02:33.910624,personal_details,progress,+27839831586,S93,A1516,Web,ios,ios 26,4G,personal_details,4,fail,,johannesburg,2026-03-28 10:44:33.910624,app
89,2026-03-24 17:48:33.910624,start,progress,+27837223721,S2888,A2337,Mobile App,ios,ios 26,4G,start,1,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
90,2026-03-27 12:55:33.910624,start,progress,+27839766073,S1373,A3950,Web,Android,Android 11,3G,start,1,fail,,Cape town,2026-03-28 10:44:33.910624,app
91,2026-03-25 13:47:33.910624,personal_details,progress,+27831803705,S1125,A3944,Mobile App,Android,Android 11,4G,personal_details,4,abandon,,Cape town,2026-03-28 10:44:33.910624,app
92,2026-03-23 13:34:33.910624,personal_details,progress,+27837734212,S903,A1629,Web,Android,Android 11,3G,personal_details,4,fail,,Durban,2026-03-28 10:44:33.910624,app
93,2026-03-23 08:38:33.910624,personal_details,progress,+27838971140,S749,A4076,Branch,ios,Android 11,3G,personal_details,4,fail,,Durban,2026-03-28 10:44:33.910624,app
94,2026-03-24 07:23:33.910624,start,progress,+27836647280,S1499,A2800,USSD,ios,Android 11,3G,start,1,success,,johannesburg,2026-03-28 10:44:33.910624,app
95,2026-03-25 11:37:33.910624,otp,progress,+27835826087,S1870,A2645,USSD,ios,ios 26,4G,otp,3,abandon,,Cape town,2026-03-28 10:44:33.910624,app
96,2026-03-28 04:22:33.910624,phone_entry,progress,+27832279513,S134,A234,USSD,ios,ios 26,3G,phone_entry,2,success,,Durban,2026-03-28 10:44:33.910624,app
97,2026-03-23 22:28:33.910624,start,progress,+27838409497,S1982,A1510,USSD,Android,ios 26,4G,start,1,fail,,johannesburg,2026-03-28 10:44:33.910624,app
98,2026-03-27 13:58:33.910624,otp,progress,+27833115700,S2704,A2645,Web,Android,ios 26,3G,otp,3,fail,,Durban,2026-03-28 10:44:33.910624,app
99,2026-03-23 12:10:33.910624,start,progress,+27836079648,S415,A4486,Web,Android,ios 26,4G,start,1,abandon,,Cape town,2026-03-28 10:44:33.910624,app
100,2026-03-26 21:07:33.910624,kyc_upload,progress,+27835568774,S2772,A4215,USSD,ios,ios 26,3G,kyc_upload,5,fail,,johannesburg,2026-03-28 10:44:33.910624,app
101,2026-03-21 19:22:33.910624,personal_details,progress,+27833103325,S2406,A590,Mobile App,ios,ios 26,4G,personal_details,4,success,,johannesburg,2026-03-28 10:44:33.910624,app
102,2026-03-25 21:30:33.910624,personal_details,progress,+27836210665,S1056,A1013,Mobile App,Android,ios 26,4G,personal_details,4,abandon,,Durban,2026-03-28 10:44:33.910624,app
103,2026-03-24 08:23:33.910624,account_created,progress,+27835550112,S194,A4923,Web,ios,Android 11,4G,account_created,6,abandon,,Durban,2026-03-28 10:44:33.910624,app
104,2026-03-27 11:55:33.910624,kyc_upload,progress,+27831098702,S1573,A3790,Mobile App,ios,ios 26,3G,kyc_upload,5,success,,Durban,2026-03-28 10:44:33.910624,app
105,2026-03-25 18:17:33.910624,kyc_upload,progress,+27833583654,S675,A2340,Mobile App,Android,Android 11,4G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
106,2026-03-26 02:39:33.910624,personal_details,progress,+27833316044,S1018,A2787,USSD,ios,ios 26,4G,personal_details,4,fail,,Durban,2026-03-28 10:44:33.910624,app
107,2026-03-26 20:53:33.910624,kyc_upload,progress,+27834572913,S1634,A3004,Mobile App,ios,Android 11,4G,kyc_upload,5,fail,,Durban,2026-03-28 10:44:33.910624,app
108,2026-03-24 09:24:33.910624,start,progress,+27835289575,S2447,A1331,Web,ios,Android 11,3G,start,1,abandon,,Cape town,2026-03-28 10:44:33.910624,app
109,2026-03-24 13:38:33.910624,start,progress,+27835733840,S1621,A3293,Branch,Android,ios 26,4G,start,1,fail,,johannesburg,2026-03-28 10:44:33.910624,app
110,2026-03-22 09:20:33.910624,otp,progress,+27838358274,S139,A833,Mobile App,ios,ios 26,4G,otp,3,abandon,,Durban,2026-03-28 10:44:33.910624,app
111,2026-03-22 20:55:33.910624,start,progress,+27836549871,S271,A2375,Web,Android,ios 26,3G,start,1,fail,,Cape town,2026-03-28 10:44:33.910624,app
112,2026-03-27 10:58:33.910624,otp,progress,+27834815195,S2607,A3884,Branch,ios,ios 26,4G,otp,3,fail,,Durban,2026-03-28 10:44:33.910624,app
113,2026-03-27 19:16:33.910624,account_created,progress,+27837416320,S143,A2991,Branch,Android,Android 11,4G,account_created,6,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
114,2026-03-26 05:51:33.910624,start,progress,+27838769340,S2619,A1167,Web,ios,Android 11,3G,start,1,fail,,johannesburg,2026-03-28 10:44:33.910624,app
115,2026-03-24 15:36:33.910624,account_created,progress,+27832193957,S430,A4772,Mobile App,Android,Android 11,4G,account_created,6,abandon,,Cape town,2026-03-28 10:44:33.910624,app
116,2026-03-27 09:49:33.910624,kyc_upload,progress,+27833963319,S1150,A2689,Web,ios,ios 26,4G,kyc_upload,5,success,,johannesburg,2026-03-28 10:44:33.910624,app
117,2026-03-23 12:20:33.910624,account_created,progress,+27837889165,S1347,A4256,Web,ios,Android 11,3G,account_created,6,success,,johannesburg,2026-03-28 10:44:33.910624,app
118,2026-03-23 03:16:33.910624,account_created,progress,+27832295103,S217,A4166,USSD,Android,ios 26,3G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
119,2026-03-24 13:53:33.910624,personal_details,progress,+27832243536,S2047,A2970,Web,ios,Android 11,4G,personal_details,4,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
120,2026-03-23 09:27:33.910624,kyc_upload,progress,+27837971123,S1641,A3414,USSD,Android,Android 11,3G,kyc_upload,5,fail,,Durban,2026-03-28 10:44:33.910624,app
121,2026-03-26 00:26:33.910624,personal_details,progress,+27834832778,S898,A4288,Branch,Android,Android 11,4G,personal_details,4,abandon,,Durban,2026-03-28 10:44:33.910624,app
122,2026-03-27 09:37:33.910624,phone_entry,progress,+27838077299,S433,A179,USSD,ios,ios 26,3G,phone_entry,2,success,,johannesburg,2026-03-28 10:44:33.910624,app
123,2026-03-26 12:28:33.910624,phone_entry,progress,+27832371954,S1338,A3691,Mobile App,ios,Android 11,3G,phone_entry,2,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
124,2026-03-21 23:28:33.910624,start,progress,+27835193194,S324,A2446,Branch,Android,Android 11,4G,start,1,abandon,,Durban,2026-03-28 10:44:33.910624,app
125,2026-03-27 04:47:33.910624,otp,progress,+27835670793,S2052,A3812,Web,Android,Android 11,4G,otp,3,fail,,johannesburg,2026-03-28 10:44:33.910624,app
126,2026-03-22 08:38:33.910624,start,progress,+27836007152,S1371,A3471,Mobile App,ios,ios 26,4G,start,1,fail,,Durban,2026-03-28 10:44:33.910624,app
127,2026-03-22 00:15:33.910624,kyc_upload,progress,+27838533724,S220,A3763,Branch,Android,ios 26,4G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
128,2026-03-23 01:14:33.910624,otp,progress,+27835777830,S2993,A3790,Mobile App,ios,ios 26,4G,otp,3,success,,Cape town,2026-03-28 10:44:33.910624,app
129,2026-03-25 14:02:33.910624,account_created,progress,+27837566951,S1007,A2105,USSD,Android,Android 11,4G,account_created,6,fail,,Cape town,2026-03-28 10:44:33.910624,app
130,2026-03-23 17:17:33.910624,kyc_upload,progress,+27838331646,S1543,A3445,Mobile App,ios,ios 26,4G,kyc_upload,5,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
131,2026-03-27 03:22:33.910624,start,progress,+27835306251,S1273,A839,Web,Android,Android 11,3G,start,1,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
132,2026-03-23 17:33:33.910624,start,progress,+27834103841,S2214,A4365,USSD,Android,Android 11,4G,start,1,fail,,Cape town,2026-03-28 10:44:33.910624,app
133,2026-03-23 09:58:33.910624,kyc_upload,progress,+27831007638,S404,A4348,Mobile App,Android,Android 11,3G,kyc_upload,5,fail,,johannesburg,2026-03-28 10:44:33.910624,app
134,2026-03-21 14:59:33.910624,personal_details,progress,+27839336467,S2550,A656,Web,Android,Android 11,3G,personal_details,4,fail,,Cape town,2026-03-28 10:44:33.910624,app
135,2026-03-27 10:45:33.910624,start,progress,+27832807670,S355,A1910,Web,Android,Android 11,3G,start,1,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
136,2026-03-24 21:42:33.910624,account_created,progress,+27832186234,S2944,A2323,Branch,ios,ios 26,3G,account_created,6,abandon,,Cape town,2026-03-28 10:44:33.910624,app
137,2026-03-24 11:35:33.910624,phone_entry,progress,+27835638092,S1635,A4666,Web,ios,ios 26,4G,phone_entry,2,success,,johannesburg,2026-03-28 10:44:33.910624,app
138,2026-03-23 12:15:33.910624,personal_details,progress,+27833669643,S2037,A3355,Mobile App,ios,ios 26,3G,personal_details,4,abandon,,Durban,2026-03-28 10:44:33.910624,app
139,2026-03-27 13:17:33.910624,kyc_upload,progress,+27836503840,S1373,A4072,USSD,ios,ios 26,3G,kyc_upload,5,fail,,Cape town,2026-03-28 10:44:33.910624,app
140,2026-03-26 07:17:33.910624,personal_details,progress,+27832859906,S2756,A3981,USSD,ios,Android 11,4G,personal_details,4,fail,,Cape town,2026-03-28 10:44:33.910624,app
141,2026-03-24 11:10:33.910624,account_created,progress,+27838737450,S2588,A48,Branch,ios,ios 26,4G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
142,2026-03-28 02:00:33.910624,account_created,progress,+27831651122,S2854,A4663,Mobile App,Android,Android 11,3G,account_created,6,fail,,Durban,2026-03-28 10:44:33.910624,app
143,2026-03-26 01:27:33.910624,account_created,progress,+27839129567,S408,A891,Mobile App,ios,Android 11,4G,account_created,6,abandon,,Durban,2026-03-28 10:44:33.910624,app
144,2026-03-25 13:17:33.910624,personal_details,progress,+27835097341,S1495,A1194,Branch,ios,ios 26,4G,personal_details,4,abandon,,johannesburg,2026-03-28 10:44:33.910624,app
145,2026-03-27 22:29:33.910624,account_created,progress,+27839480836,S1717,A1338,Branch,ios,Android 11,3G,account_created,6,fail,,Durban,2026-03-28 10:44:33.910624,app
146,2026-03-24 17:23:33.910624,phone_entry,progress,+27839168581,S114,A3349,Mobile App,Android,Android 11,3G,phone_entry,2,success,,Cape town,2026-03-28 10:44:33.910624,app
147,2026-03-24 05:33:33.910624,otp,progress,+27836401650,S1910,A4937,Mobile App,Android,ios 26,4G,otp,3,fail,,johannesburg,2026-03-28 10:44:33.910624,app
148,2026-03-24 10:25:33.910624,kyc_upload,progress,+27832290946,S480,A4386,Mobile App,Android,ios 26,4G,kyc_upload,5,fail,,Durban,2026-03-28 10:44:33.910624,app
149,2026-03-25 15:59:33.910624,kyc_upload,progress,+27832597368,S1998,A2498,Branch,Android,ios 26,4G,kyc_upload,5,fail,,Durban,2026-03-28 10:44:33.910624,app
150,2026-03-23 20:54:33.910624,kyc_upload,progress,+27838369561,S1303,A4939,USSD,ios,ios 26,3G,kyc_upload,5,success,,johannesburg,2026-03-28 10:44:33.910624,app
151,2026-03-24 00:48:33.910624,start,progress,+27832326263,S2467,A1423,Branch,Android,Android 11,3G,start,1,abandon,,Durban,2026-03-28 10:44:33.910624,app
152,2026-03-23 22:29:33.910624,phone_entry,progress,+27831657394,S2150,A4637,Branch,Android,ios 26,4G,phone_entry,2,fail,,Durban,2026-03-28 10:44:33.910624,app
153,2026-03-23 20:08:33.910624,phone_entry,progress,+27832367749,S1214,A1151,Mobile App,ios,ios 26,3G,phone_entry,2,fail,,Durban,2026-03-28 10:44:33.910624,app
154,2026-03-27 03:39:33.910624,account_created,progress,+27833002105,S335,A685,Branch,ios,Android 11,3G,account_created,6,success,,Cape town,2026-03-28 10:44:33.910624,app
155,2026-03-25 10:24:33.910624,kyc_upload,progress,+27833104473,S2502,A2941,Web,ios,ios 26,3G,kyc_upload,5,abandon,,Cape town,2026-03-28 10:44:33.910624,app
156,2026-03-21 15:45:33.910624,personal_details,progress,+27835657867,S2190,A2458,USSD,Android,Android 11,4G,personal_details,4,fail,,Durban,2026-03-28 10:44:33.910624,app
